kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,block,grid_blocks,warmup,reps,trials,mean_ms,std_ms,N,rows,cols,H,W,matN,iters,FLOPs,BYTES,shared_bytes,working_set_bytes,arithmetic_intensity,mem_pattern,gpu_device_name,gpu_cc_major,gpu_cc_minor,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,sustained_mem_bandwidth_gbps,sustained_compute_gflops,T1_model_ms,speedup_model
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,256,4096,10,50,10,0.119929,0.005128,,1024,1024,,,,0,102760448,8388608,0,4194304,12.250000,stencil_7x7,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,0.496083,4.14
reduce_sum,--N 1048576 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,256,4096,20,100,10,0.015488,0.000020,,1048576,1,,,,0,1048575,4202500,1024,4194304,0.249512,shared_reduction,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,0.248526,16.05
naive_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,128,128,1,256,16384,20,100,10,0.086797,0.001652,,2048,2048,,,,0,0,33554432,0,33554432,0.000000,transpose_naive,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,1.984332,22.86
strided_copy_8,--N 1048576 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,256,4096,20,100,10,0.021473,0.000107,,1048576,1,,,,0,0,1048576,0,1048576,0.000000,stride_8,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,0.062010,2.89
random_access,--N 1048576 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,256,4096,20,100,10,0.018283,0.000076,,1048576,1,,,,0,0,8388608,0,8388608,0.000000,random_gather,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,0.496083,27.13
matmul_tiled,--matN 512 --warmup 10 --reps 50,37,8192,NVIDIA GeForce RTX 2080 Ti,32,32,1,16,16,1,1024,256,10,50,10,0.181460,0.002891,,512,512,,,,0,268435456,3145728,2097152,3145728,85.333333,matmul_tiled,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,0.755013,4.16
saxpy,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,256,4096,20,100,10,0.025499,0.000055,,1048576,1,,,,0,2097152,12582912,0,12582912,0.166667,coalesced,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,0.744124,29.18
matmul_naive,--matN 512 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,32,32,1,256,1024,10,50,10,0.311219,0.005184,,512,512,,,,0,268435456,3145728,0,3145728,85.333333,matmul_naive,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,0.755013,2.43
shared_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,10,4224,NVIDIA GeForce RTX 2080 Ti,32,32,1,64,64,1,1024,4096,20,100,10,0.072514,0.001590,,2048,2048,,,,0,0,33554432,16777216,33554432,0.000000,transpose_tiled,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,1.984332,27.36
vector_add_divergent,--N 1048576 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,256,4096,20,100,10,0.096340,0.002182,,1048576,1,,,,0,1048576,12582912,0,12582912,0.083333,coalesced,NVIDIA GeForce RTX 2080 Ti,75,0,68,1024,16,65536,65536,5767168,32,541.11,11377.20,0.744124,7.72
