kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,time_ms,rows,cols,iters,block,grid_blocks
histogram,--N 1048576 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,0.066601,1048576,1,0,256,4096
histogram,--N 1048576 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,0.066593,1048576,1,0,256,4096
histogram,--N 1048576 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,0.066626,1048576,1,0,256,4096
histogram,--N 1048576 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,0.066595,1048576,1,0,256,4096
histogram,--N 1048576 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,0.075018,1048576,1,0,256,4096
histogram,--N 1048576 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,0.066608,1048576,1,0,256,4096
histogram,--N 1048576 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,0.066600,1048576,1,0,256,4096
histogram,--N 1048576 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,0.066589,1048576,1,0,256,4096
histogram,--N 1048576 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,0.066625,1048576,1,0,256,4096
histogram,--N 1048576 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,0.066596,1048576,1,0,256,4096
