kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,time_ms,rows,cols,iters,block,grid_blocks
saxpy,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,0.025480,1048576,1,0,256,4096
saxpy,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,0.025497,1048576,1,0,256,4096
saxpy,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,0.025511,1048576,1,0,256,4096
saxpy,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,0.025443,1048576,1,0,256,4096
saxpy,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,0.025641,1048576,1,0,256,4096
saxpy,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,0.025492,1048576,1,0,256,4096
saxpy,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,0.025456,1048576,1,0,256,4096
saxpy,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,0.025453,1048576,1,0,256,4096
saxpy,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,0.025476,1048576,1,0,256,4096
saxpy,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,0.025539,1048576,1,0,256,4096
