kernel,regs,shmem,block,grid_blocks,mean_ms,std_ms,N,rows,cols,iters,size_kind,FLOPs,BYTES,shared_bytes,working_set_bytes,arithmetic_intensity,mem_pattern,has_branch_divergence,atomic_ops_count,gpu_device_name,gpu_architecture,gpu_compute_capability,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,peak_theoretical_gflops,peak_theoretical_bandwidth_gbps,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops,T1_model_ms,speedup_model
atomic_hotspot,7,0,256,1024,0.325077,0.004287,262144,,,50,N,0,104857600,0,4,0.000000,atomics_hotspot,0,13107200,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,322.56,0.00,6.201037,19.08
atomic_hotspot,7,0,256,1024,0.651682,0.006500,262144,,,100,N,0,209715200,0,4,0.000000,atomics_hotspot,0,26214400,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,321.81,0.00,12.402074,19.03
atomic_hotspot,7,0,256,4096,1.300542,0.006589,1048576,,,50,N,0,419430400,0,4,0.000000,atomics_hotspot,0,52428800,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,322.50,0.00,24.804149,19.07
atomic_hotspot,7,0,256,4096,2.596345,0.005841,1048576,,,100,N,0,838860800,0,4,0.000000,atomics_hotspot,0,104857600,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,323.09,0.00,49.608297,19.11
atomic_hotspot,7,0,256,16384,5.195293,0.014003,4194304,,,50,N,0,1677721600,0,4,0.000000,atomics_hotspot,0,209715200,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,322.93,0.00,99.216594,19.10
atomic_hotspot,7,0,256,16384,10.374662,0.005368,4194304,,,100,N,0,3355443200,0,4,0.000000,atomics_hotspot,0,419430400,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,323.43,0.00,198.433188,19.13
saxpy,12,0,256,1024,0.004109,0.000041,262144,,,0,N,524288,3145728,0,3145728,0.166667,coalesced,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,765.57,127.60,0.186031,45.27
saxpy,12,0,256,4096,0.026260,0.001583,1048576,,,0,N,2097152,12582912,0,12582912,0.166667,coalesced,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,479.17,79.86,0.744124,28.34
saxpy,12,0,256,16384,0.095837,0.001866,4194304,,,0,N,8388608,50331648,0,50331648,0.166667,coalesced,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,525.18,87.53,2.976498,31.06
saxpy,12,0,256,65536,0.374399,0.001789,16777216,,,0,N,33554432,201326592,0,201326592,0.166667,coalesced,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,537.73,89.62,11.905991,31.80
shared_bank_conflict,206,4096,1024,1,0.001471,0.000062,,,,0,N,0,0,4096,4096,0.000000,smem_bank_conflict,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,0.00,0.00,,
dot_product,15,1024,256,1024,0.006085,0.000020,262144,,,0,N,524288,2099204,1024,2097152,0.249756,shared_reduction,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,344.98,86.16,0.124142,20.40
dot_product,15,1024,256,4096,0.019222,0.000186,1048576,,,0,N,2097152,8396804,1024,8388608,0.249756,shared_reduction,0,0,NVIDIA GeForce RTX 2080 Ti,Turing,7.5,68,1024,16,65536,65536,5767168,32,13450,616,541.11,11377.20,436.83,109.10,0.496568,25.83
